,label,youtube_id,time_start,time_end,split,downloaded
38560,bookbinding,AetDbu8KyXw,153,163,train,False
111287,bookbinding,VhUWXbP19ho,403,413,train,False
24512,bookbinding,6YINhg9r6dI,53,63,train,False
34586,bookbinding,9XxNFIrdYhs,120,130,train,False
166394,bookbinding,kzjPaFGhm4k,130,140,train,False
39381,bookbinding,AtMWZvj10lk,43,53,train,False
41534,bookbinding,BVplP-taRr8,220,230,train,False
172870,bookbinding,mtb65eOTwCQ,85,95,train,False
23943,bookbinding,6NI8E8vuxL0,159,169,train,False
25871,bookbinding,6xeBbp8TcJA,644,654,train,False
54635,bookbinding,FHKiv-LFGDA,414,424,train,False
86588,bookbinding,OYW7bixKYQY,232,242,train,False
130132,bookbinding,aEN6ZzLEbrc,8,18,train,False
28751,bookbinding,7pT7CSAlhYU,233,243,train,False
200294,bookbinding,v6htUfJjZoA,69,79,train,False
163205,bookbinding,k2cbxCjVzqY,104,114,train,False
135774,bookbinding,bsu2qGNL6To,594,604,train,False
31058,bookbinding,8WijD8attFY,413,423,train,False
4576,bookbinding,0UuzBKzUQw8,474,484,train,False
111962,bookbinding,Vt3YYxgulyY,409,419,train,False
159782,bookbinding,j-r6c_trSxY,238,248,train,False
12516,bookbinding,2vO8ZyFISFk,60,70,train,False
146779,bookbinding,f8kEtlN1whw,674,684,train,False
32744,bookbinding,9-qmx4hvRok,110,120,train,False
145879,bookbinding,euK53kNSrzY,526,536,train,False
41545,bookbinding,BVytHI7ezwo,23,33,train,False
145353,bookbinding,ekDSEd1vCzQ,143,153,train,False
199908,bookbinding,uzYMQln-FKA,111,121,train,False
124571,bookbinding,ZZy4Q3gwHw0,478,488,train,False
112378,bookbinding,W-sOD8XoBb4,179,189,train,False
28974,bookbinding,7tJhzMBPAXE,252,262,train,False
69454,carrying baby,JYjghX1NRqg,289,299,train,False
142851,carrying baby,e0WFVWhfds0,63,73,train,False
64330,carrying baby,I3S6RNey2sQ,99,109,train,False
140287,carrying baby,dEkFYdigLGs,17,27,train,False
96433,carrying baby,RLUV2tI9OP4,26,36,train,False
83679,carrying baby,NjXPIGQqhsg,154,164,train,False
11054,carrying baby,2TnpD2AIKj0,63,73,train,False
94025,carrying baby,QeN1n0iCa_w,56,66,train,False
19879,carrying baby,58nFvouWcfE,2,12,train,False
158134,carrying baby,iXxd8HGpanU,194,204,train,False
107432,carrying baby,UX_J6gFyutM,102,112,train,False
152621,carrying baby,gsnQl7Oknj0,94,104,train,False
114865,carrying baby,WjrGvK-vF8s,130,140,train,False
112890,carrying baby,WA9t9ZBBQXo,37,47,train,False
206763,carrying baby,x1al6gq_9CI,2,12,train,False
24335,carrying baby,6UrkOKRSS4Q,6,16,train,False
29231,carrying baby,7yVkCYE2mnA,160,170,train,False
165836,carrying baby,kpv95ccL4lA,18,28,train,False
29757,carrying baby,87huJoO5yhY,122,132,train,False
152975,carrying baby,gzIXbL48rjU,48,58,train,False
194661,carrying baby,tN1kNRQO4Yo,1,11,train,False
58748,carrying baby,GUd8ZIkeOx4,1,11,train,False
104028,carrying baby,TZqPDBUKdNg,198,208,train,False
57658,carrying baby,G9pe0zvjFJ0,185,195,train,False
111471,carrying baby,Vk6_fgboZAo,17,27,train,False
433,carrying baby,-AiEBWTeJ9M,16,26,train,False
188898,carrying baby,reoT5RVOBdY,78,88,train,False
202147,carrying baby,vfKxokJRgEo,35,45,train,False
92157,carrying baby,Q6vqJPJ399Y,44,54,train,False
129348,carrying baby,_ztr_sNy4mI,53,63,train,False
73359,carrying baby,KhsRvsnO02w,72,82,train,False
70942,carrying baby,Jz3n1RkPqKA,53,63,train,False
150180,carrying baby,g9YrRZH2TAo,3,13,train,False
120294,carrying baby,YKUNNr9tfok,36,46,train,False
141301,carrying baby,dZLNAHJLSSM,17,27,train,False
178489,carrying baby,oaCtyo3Y5kc,109,119,train,False
37047,carrying baby,AEmsx7Bpd14,10,20,train,False
177578,carrying baby,oKu7aE00B6Y,9,19,train,False
142594,carrying baby,dwn2_-ZR2Ho,42,52,train,False
134110,carrying baby,bPfJAqym2vc,19,29,train,False
66456,carrying baby,IeIPy3Pue80,44,54,train,False
214223,carrying baby,zJ2YoS-qwtM,3,13,train,False
116702,carrying baby,XHvcIRmRozU,178,188,train,False
50731,carrying baby,EA8WX3p0MOM,35,45,train,False
143103,carrying baby,e4vWXlPRaHw,34,44,train,False
24082,carrying baby,6QDSc3E99go,16,26,train,False
193689,carrying baby,t58QdSWqYHM,80,90,train,False
116687,carrying baby,XHjSQdfXwNs,92,102,train,False
121115,carrying baby,Y_aQZiFJRMs,122,132,train,False
204794,carrying baby,wU3sihrRBCw,14,24,train,False
127148,carrying baby,_Kcgee5kKS0,57,67,train,False
72309,carrying baby,KPiqxrdSnBA,39,49,train,False
183346,carrying baby,q1IpEcDBFPI,8,18,train,False
194688,carrying baby,tNY45eRXoP8,1,11,train,False
26924,carrying baby,7I814WqKvC4,39,49,train,False
43014,carrying baby,BvdknPz77Hs,0,10,train,False
133419,carrying baby,bCtCDngpgZA,1,11,train,False
69104,carrying baby,JS4SaRyaZvk,22,32,train,False
18438,carrying baby,4ijCrYpSjzw,81,91,train,False
154436,carrying baby,hRZoeOS7oes,149,159,train,False
20141,carrying baby,5ESJb7i59EI,13,23,train,False
125653,carrying baby,ZtA-VEfEp7k,18,28,train,False
112930,carrying baby,WB3_hwC8Vbg,18,28,train,False
154230,carrying baby,hO9ju_uHgUM,108,118,train,False
172120,carrying baby,mgyOpsH8WgM,17,27,train,False
98494,carrying baby,RvgfFat64ak,189,199,train,False
31669,carrying baby,8hELkdo4Qfc,36,46,train,False
206182,carrying baby,wsewka-UpkA,109,119,train,False
197011,carrying baby,u6MSOIKpJTI,108,118,train,False
26461,carrying baby,78srmi68JWs,6,16,train,False
57816,carrying baby,GD8ouVD7URg,100,110,train,False
79968,carrying baby,Mbwm3hiB6GU,149,159,train,False
39519,carrying baby,Aw8fy4M2tbU,5,15,train,False
156901,carrying baby,iAQYcYCalOA,4,14,train,False
139496,carrying baby,czvjhObA_rw,86,96,train,False
200477,carrying baby,vAI7Sy3tHeM,139,149,train,False
68424,carrying baby,JEa2fNi_nx0,90,100,train,False
126858,carrying baby,_FMp-qsNQ4w,7,17,train,False
104445,carrying baby,TgZJ3C7Gsiw,64,74,train,False
152202,carrying baby,gl42p5PduMk,4,14,train,False
111807,carrying baby,Vqe-rSeY1xU,315,325,train,False
192201,carrying baby,sezEZykNNAk,167,177,train,False
108804,carrying baby,Ux-EewIHEm0,28,38,train,False
136139,carrying baby,bzzijDewB7g,170,180,train,False
11383,carrying baby,2_HyZ_mdGx0,33,43,train,False
28987,carrying baby,7tWuaNY5kMQ,130,140,train,False
126405,carrying baby,_6jpMTxRak0,103,113,train,False
2737,carrying baby,-vDWgHdsEwA,18,28,train,False
132361,carrying baby,atVQMQrexT4,1,11,train,False
106911,carrying baby,UOv3iWGJpDc,144,154,train,False
25238,carrying baby,6lnBog6ETg4,196,206,train,False
13942,carrying baby,3LAnz7sPwa4,1,11,train,False
19055,carrying baby,4twzVlHuDEY,52,62,train,False
95949,carrying baby,RD9DBYJ36MU,5,15,train,False
96326,carrying baby,RJriDAhIIQs,229,239,train,False
182615,carrying baby,poVG7sFhvyA,113,123,train,False
31378,carrying baby,8buIt6XVyns,35,45,train,False
92403,carrying baby,QBYYekKq-bA,66,76,train,False
180538,carrying baby,pA4e2NzqEmc,109,119,train,False
121929,carrying baby,YoplOXXkLsw,53,63,train,False
136130,catching or throwing baseball,bzd_giFrMVw,0,10,train,False
158350,catching or throwing baseball,iam-SMsBZcY,1,11,train,False
146284,catching or throwing baseball,f0T8ruqMZaM,4,14,train,False
32019,catching or throwing baseball,8nn42F81ZQk,0,10,train,False
59679,catching or throwing baseball,GjYnQbJzv4k,1,11,train,False
131297,catching or throwing baseball,aZzfEhBMhPI,23,33,train,False
176973,catching or throwing baseball,o9UGLG8qiFQ,248,258,train,False
1645,catching or throwing baseball,-_o1wewuNhU,127,137,train,False
100208,catching or throwing baseball,SQWEMOT16NI,0,10,train,False
66519,catching or throwing baseball,IfVHZYrQY8g,4,14,train,False
67991,catching or throwing baseball,J70B7zFwPxk,367,377,train,False
56682,catching or throwing baseball,FtD4iy01hGM,1,11,train,False
213673,catching or throwing baseball,z8RvsSLaeJM,1,11,train,False
206367,catching or throwing baseball,wvP_ZrpjOKs,119,129,train,False
84843,catching or throwing baseball,O3qsr4ipYxk,2,12,train,False
206446,catching or throwing baseball,wwRmPBTrZx0,0,10,train,False
59692,catching or throwing baseball,GjnQAH6rVjU,70,80,train,False
50038,catching or throwing baseball,DzTTNu1nMws,104,114,train,False
209506,catching or throwing baseball,xrygOElnq5I,2,12,train,False
186186,catching or throwing baseball,qtiUFRFth54,42,52,train,False
39353,catching or throwing baseball,AsI3o1csLI8,7,17,train,False
87555,catching or throwing baseball,OoTgJMNmhoI,5,15,train,False
174392,catching or throwing baseball,nMq4xzzy1rA,61,71,train,False
7749,catching or throwing baseball,1SvzKT0TfKc,8,18,train,False
126686,catching or throwing baseball,_BzBHamJxdo,63,73,train,False
13276,catching or throwing baseball,37V1uQa2am4,5,15,train,False
27173,catching or throwing baseball,7M_2Obuw6Xw,3,13,train,False
86961,catching or throwing baseball,Oe2Nhzw3OOo,2,12,train,False
151636,catching or throwing baseball,gaoPLN-sKBM,36,46,train,False
100091,catching or throwing baseball,SNwx-8W73dE,82,92,train,False
36823,catching or throwing baseball,AAAwcD5LeQ0,17,27,train,False
90324,catching or throwing baseball,Pa8PV00-7ZQ,31,41,train,False
143651,catching or throwing baseball,eEpkXv4JNV4,162,172,train,False
188866,catching or throwing baseball,re4EDrS3gyc,5,15,train,False
206084,catching or throwing baseball,wqfUS0vel8Y,145,155,train,False
200603,catching or throwing baseball,vCVPQs4ZhwI,13,23,train,False
51050,catching or throwing baseball,EFhd_zBsXn4,17,27,train,False
159408,catching or throwing baseball,itwezb029W0,518,528,train,False
214806,catching or throwing baseball,zUWaH021VPE,2,12,train,False
51856,catching or throwing baseball,ETnqg2-PEC8,50,60,train,False
78609,catching or throwing baseball,MEaBPWMlPDY,3,13,train,False
157700,catching or throwing baseball,iQ67eZrSLv0,3,13,train,False
16426,catching or throwing baseball,45P8ox6EX0o,11,21,train,False
153793,catching or throwing baseball,hFPIJpjs2bw,4,14,train,False
183081,catching or throwing baseball,pwnLwI-f3eA,13,23,train,False
167659,catching or throwing baseball,lNtAaowp1V4,15,25,train,False
3563,catching or throwing baseball,0AcqN56Sn5A,34,44,train,False
67861,catching or throwing baseball,J4Ti-3oVLZI,20,30,train,False
146566,catching or throwing baseball,f5kTDn5OqbM,271,281,train,False
169381,catching or throwing baseball,lsCGPvJzvUw,3,13,train,False
88140,catching or throwing baseball,OyFL1sSwcPQ,139,149,train,False
177648,catching or throwing baseball,oMP6GQkBgtc,4,14,train,False
195876,catching or throwing baseball,tjwnneZ6eWE,23,33,train,False
213825,catching or throwing baseball,zBupKQjypjA,81,91,train,False
187370,catching or throwing baseball,rEW6SYx0TLo,2,12,train,False
176106,catching or throwing baseball,ntHYVy7lWoc,34,44,train,False
35843,catching or throwing baseball,9uMHYraHqyU,2,12,train,False
75154,catching or throwing baseball,LEytLQ9PxGI,35,45,train,False
123398,catching or throwing baseball,ZFeoUzGv3uM,4,14,train,False
58195,catching or throwing baseball,GK3ADJjTB5w,1,11,train,False
66179,catching or throwing baseball,I_GUmBud6UI,2,12,train,False
188065,catching or throwing baseball,rRDOQE_6hA0,119,129,train,False
11862,catching or throwing baseball,2ixxIMTLsRU,59,69,train,False
33913,catching or throwing baseball,9LDZCMF2Buo,17,27,train,False
150138,catching or throwing baseball,g8ZhO9Fn1A8,3,13,train,False
161529,catching or throwing baseball,jYuuYZ5LG08,4,14,train,False
60948,catching or throwing baseball,H4i4z_lSuCw,0,10,train,False
211594,catching or throwing baseball,yWjqADqR2Xo,2,12,train,False
106156,catching or throwing baseball,UADTsLTIah4,6,16,train,False
208535,catching or throwing baseball,x_3BrhydLlA,0,10,train,False
4044,catching or throwing baseball,0KgQ0m9WI2g,137,147,train,False
137577,catching or throwing baseball,cPtZkrZiEfo,9,19,train,False
129679,catching or throwing baseball,a5-Fu00pwEk,4,14,train,False
35012,catching or throwing baseball,9fT2H0k68sE,16,26,train,False
157370,catching or throwing baseball,iJlR-So5Wjw,27,37,train,False
1997,catching or throwing baseball,-gswhyjdG-A,0,10,train,False
61842,catching or throwing baseball,HLYX9DMlypQ,0,10,train,False
7686,catching or throwing baseball,1RVKKlpsDhg,0,10,train,False
188728,catching or throwing baseball,rbMxipici0k,26,36,train,False
188107,catching or throwing baseball,rRoN0xtUvZc,4,14,train,False
195208,catching or throwing baseball,tXuAHGSlrwA,0,10,train,False
198295,catching or throwing baseball,uUQSRN-nC40,1,11,train,False
150543,catching or throwing baseball,gG7RJdb6E-s,1,11,train,False
93311,catching or throwing baseball,QTQtkxqZFCc,42,52,train,False
4859,catching or throwing baseball,0_dWsMfL1LA,4,14,train,False
84956,catching or throwing baseball,O5ofe-8l4S0,36,46,train,False
67942,catching or throwing baseball,J69NzinmyKo,3,13,train,False
161157,catching or throwing baseball,jQY-yaQEZdU,64,74,train,False
131164,catching or throwing baseball,aXvXP2zIRjs,6,16,train,False
110219,catching or throwing baseball,VNnGytJD1Kw,50,60,train,False
99361,catching or throwing baseball,SA23Gr_2aXE,21,31,train,False
151294,catching or throwing baseball,gUUA1K92vWU,24,34,train,False
7100,catching or throwing baseball,1FcgfYYwHhc,3,13,train,False
37631,catching or throwing baseball,APkDak34W-4,6,16,train,False
211456,catching or throwing baseball,yUDu2JTKAC8,4,14,train,False
128413,catching or throwing baseball,_hMvhAL-0Us,0,10,train,False
135293,catching or throwing baseball,bkEyhLbMmyo,65,75,train,False
7046,catching or throwing baseball,1EaQEYibFek,21,31,train,False
67983,catching or throwing baseball,J6p6rEDanUs,11,21,train,False
157731,catching or throwing baseball,iQerCqy37Ms,1,11,train,False
194106,cutting pineapple,tBcTV0n493Y,66,76,train,False
68056,cutting pineapple,J8491Fp8ZN8,9,19,train,False
12412,cutting pineapple,2tQs8QA8dAc,0,10,train,False
56283,cutting pineapple,Flsj-j0pprk,34,44,train,False
72208,cutting pineapple,KNytKUkqrec,72,82,train,False
150441,cutting pineapple,gE36y88uSCM,26,36,train,False
164626,cutting pineapple,kTFc5RQ8LwA,53,63,train,False
101395,cutting pineapple,SklR9KQgZaI,6,16,train,False
28650,cutting pineapple,7nkktedYygc,221,231,train,False
83324,cutting pineapple,Ndc6xLV38e8,4,14,train,False
50465,cutting pineapple,E5Sjm1cUYDw,66,76,train,False
44773,cutting pineapple,CQefF7dAHyE,53,63,train,False
154793,cutting pineapple,hYfS-UfhOSE,87,97,train,False
118207,cutting pineapple,XjTp066_arw,0,10,train,False
16886,cutting pineapple,4EW07zO7pM8,11,21,train,False
83314,cutting pineapple,NdNT60K2RHk,249,259,train,False
51533,cutting pineapple,EOEYv4ljzqM,17,27,train,False
26109,cutting pineapple,71jYFA7DqrI,28,38,train,False
121095,cutting pineapple,Y_D4aAwcZWg,279,289,train,False
136112,cutting pineapple,bzH3XUGzpic,93,103,train,False
161040,cutting pineapple,jOUtfuybVPU,37,47,train,False
42027,cutting pineapple,BeRvwRg3bl0,4,14,train,False
118102,cutting pineapple,XhZT-NiIBpg,207,217,train,False
165486,cutting pineapple,kjGTBFURwN0,74,84,train,False
10002,cutting pineapple,29BV21mCC0M,243,253,train,False
182193,cutting pineapple,pgroSqIKu7w,0,10,train,False
95233,cutting pineapple,QzNPbu6L38E,46,56,train,False
31791,cutting pineapple,8jPloudvoPI,85,95,train,False
35291,cutting pineapple,9kXDkFBZeb0,2,12,train,False
21978,cutting pineapple,5lVfJrShaRE,36,46,train,False
195830,cutting pineapple,tj9lsSsyiJk,2,12,train,False
19823,cutting pineapple,57chEgIkd8E,59,69,train,False
177509,cutting pineapple,oJduvkJf3sQ,4,14,train,False
52977,cutting pineapple,Eo1O1lf_2zE,24,34,train,False
6990,cutting pineapple,1Dc2ULdonIc,0,10,train,False
77141,cutting pineapple,LolWAqq0ejg,52,62,train,False
79496,cutting pineapple,MUPyxatmgFE,108,118,train,False
125032,cutting pineapple,ZiTpCzNC-yw,34,44,train,False
108767,cutting pineapple,UwNvXOw1ydk,3,13,train,False
17835,cutting pineapple,4XNMerl23m8,58,68,train,False
21961,cutting pineapple,5lDjxzSI5rM,18,28,train,False
30060,cutting pineapple,8Dt31Sc1j1U,72,82,train,False
171316,cutting pineapple,mSBNkkF-Sik,5,15,train,False
137696,cutting pineapple,cSMmHKhkzCU,37,47,train,False
139807,cutting pineapple,d4vgwO_nU88,0,10,train,False
171888,cutting pineapple,mcpOx_ETlVg,45,55,train,False
35059,cutting pineapple,9gUHP3pFBzs,119,129,train,False
197911,cutting pineapple,uNK3mVa6lYs,51,61,train,False
34032,cutting pineapple,9NIu15aVKdk,46,56,train,False
53268,cutting pineapple,EtQjwKUNCVA,6,16,train,False
30097,cutting pineapple,8Ed49qKh_V0,0,10,train,False
42912,cutting pineapple,BtgqhNMjDk4,0,10,train,False
117454,cutting pineapple,XWlgbsmW0Jw,22,32,train,False
194562,cutting pineapple,tL8G4fQ0-bE,3,13,train,False
152840,cutting pineapple,gwc9Lyc51j4,33,43,train,False
141973,cutting pineapple,dluDTRxVgJk,67,77,train,False
154171,cutting pineapple,hMvqYObd49s,5,15,train,False
24063,cutting pineapple,6PxeP7z8w3E,88,98,train,False
45867,cutting pineapple,Cky7TqzFpnk,35,45,train,False
93508,cutting pineapple,QXEZUMod52Q,50,60,train,False
129032,cutting pineapple,_tmbzKEyksY,19,29,train,False
214928,cutting pineapple,zX-oQlNLJSo,92,102,train,False
134923,cutting pineapple,bd8eusNMq4k,4,14,train,False
28223,cutting pineapple,7f-DtONd58g,40,50,train,False
141226,cutting pineapple,dXlY_D2vLcU,56,66,train,False
118935,cutting pineapple,XwqJnhBYrGM,132,142,train,False
139482,cutting pineapple,czbT-sg14Qk,6,16,train,False
154134,cutting pineapple,hM8bXYxNBNs,11,21,train,False
